File path,File Name,Test Files Added Date,Number Of People Involved,Number of Modifications,Modification Dates,People involved
None, test_primes.py, 2006-02-06, 7, 14,  2006-02-06 2006-07-06 2006-07-17 2006-07-28 2007-10-02 2007-12-15 2008-06-17 2008-06-21 2008-07-05 2013-02-27 2013-03-27 2013-04-06 2015-07-25 2016-01-06,  Pearu Peterson cookedm Stefan van der Walt Travis Oliphant Alan McIntyre Charles Harris Ralf Gommers
None, test_oldnumeric.py, 2006-02-10, 8, 17,  2006-02-10 2006-03-31 2006-04-24 2006-06-12 2006-07-06 2007-01-08 2007-12-15 2008-06-17 2008-06-21 2008-07-03 2013-02-27 2013-03-27 2013-04-06 2013-08-18,  Pearu Peterson Tim Hochberg Travis Oliphant cookedm Stefan van der Walt Alan McIntyre Robert Kern Charles Harris
numpy/core/tests/test_unicode.py, test_unicode.py, 2006-02-14, 19, 43,  2006-02-14 2006-03-10 2006-04-19 2006-04-26 2006-07-06 2006-07-17 2007-05-22 2007-05-23 2007-12-15 2008-06-17 2008-06-21 2008-07-03 2008-08-08 2009-01-06 2009-02-25 2009-02-27 2009-12-06 2010-02-20 2011-03-01 2012-08-03 2012-12-16 2013-02-27 2013-03-27 2013-04-06 2013-04-17 2013-08-18 2015-07-05 2015-07-22 2016-05-28 2016-05-24 2016-12-08 2017-02-08 2017-03-25 2017-07-17 2018-04-04 2019-08-27 2020-01-05 2020-01-08 2020-01-21 2020-01-23 2020-03-26,  Travis Oliphant cookedm Pearu Peterson Alan McIntyre Jarrod Millman Stefan van der Walt David Cournapeau Pauli Virtanen rgommers Ondrej Certik cgohlke Charles Harris Sebastian Berg Alexandr Shadchin Ronan Lamy Eric Wieser Jon Dufresne Seth Troisi Warren Weckesser
numpy/doc/swig/testSeries.py, testSeries.py, 2006-03-14, 3, 9,  2006-03-14 2006-07-06 2007-03-14 2007-03-24 2007-03-25 2007-04-01,  Travis Oliphant cookedm wfspotz@sandia.gov
numpy/core/tests/test_scalarmath.py, test_scalarmath.py, 2006-05-30, 36, 129,  2006-05-30 2006-06-01 2006-06-06 2006-07-06 2006-07-18 2007-01-08 2007-04-12 2007-07-27 2007-10-02 2007-12-15 2007-12-16 2007-12-29 2008-03-01 2008-03-22 2008-03-27 2008-03-30 2008-04-05 2008-04-20 2008-06-17 2008-06-21 2008-07-03 2008-08-08 2008-09-09 2009-02-25 2009-02-27 2009-03-09 2009-03-16 2009-04-16 2011-01-21 2011-04-02 2011-04-03 2011-04-05 2012-07-12 2012-07-13 2013-02-27 2013-03-27 2013-04-06 2013-04-09 2013-06-09 2013-07-11 2013-08-09 2013-08-10 2013-08-18 2013-08-17 2013-08-22 2013-08-03 2013-08-20 2013-09-16 2013-09-17 2013-09-19 2013-09-23 2014-01-31 2014-02-14 2014-07-08 2014-03-14 2014-08-26 2015-04-23 2015-07-05 2015-07-22 2015-11-17 2016-01-14 2016-02-15 2016-03-20 2016-03-22 2016-03-28 2016-08-06 2016-08-31 2016-09-01 2016-06-19 2016-11-01 2016-11-05 2016-11-21 2016-11-22 2017-03-21 2017-05-06 2017-05-30 2017-07-04 2017-07-17 2017-08-01 2017-08-05 2017-09-22 2017-11-05 2017-11-10 2017-12-27 2018-01-06 2018-01-19 2018-03-25 2018-04-04 2018-06-13 2018-06-16 2018-11-24 2018-12-06 2019-03-05 2019-06-08 2019-10-15 2019-08-27 2020-01-05 2020-01-08 2020-05-04 2021-01-01 2021-01-03 2020-10-19 2021-03-28 2021-04-11 2021-04-30 2021-05-03 2021-05-04 2021-07-19 2021-07-20 2021-06-30 2021-10-08 2021-12-07 2021-12-09 2022-02-04,  Travis Oliphant cookedm Stefan van der Walt Jarrod Millman Alan McIntyre David Cournapeau Mark Wiebe Pauli Virtanen Ralf Gommers Charles Harris Eric Fode Julian Taylor Arink Verma Daniel da Silva Antoine Pitrou Stuart Archibald Sebastian Berg Eric Moore Jaime Fernandez mattip saurabh Eric Wieser Stephan Hoyer xoviat Allan Haldane Mike Toews Roman Yurchak Andreas Schwab Jon Dufresne Seth Troisi Anirudh Subramanian DWesl Bas van Beek Anne Archibald Stephannie Jimenez Gacha Alessia Marcolini
None, test_parser.py, 2006-06-30, 6, 13,  2006-06-30 2006-07-02 2006-07-04 2006-07-06 2006-09-08 2006-10-01 2007-01-08 2007-10-02 2007-12-15 2008-06-17 2008-06-21 2008-07-03,  Pearu Peterson cookedm Stefan van der Walt Travis Oliphant Alan McIntyre Robert Kern
numpy/linalg/tests/test_linalg.py, test_linalg.py, 2006-07-14, 44, 149,  2006-07-14 2007-09-21 2007-12-15 2008-04-06 2008-04-07 2008-04-08 2008-04-27 2008-04-29 2008-06-17 2008-06-21 2008-07-03 2008-07-14 2009-01-06 2009-03-02 2009-03-27 2009-11-06 2009-12-22 2010-05-05 2010-10-10 2011-04-03 2011-04-05 2011-05-09 2011-05-10 2012-03-17 2012-07-14 2013-02-26 2013-02-27 2013-03-27 2013-04-01 2013-04-06 2013-04-09 2013-04-12 2013-04-13 2013-04-11 2013-05-12 2013-06-01 2013-06-04 2013-07-10 2013-08-18 2013-09-10 2013-09-11 2013-10-01 2013-10-07 2013-10-08 2013-10-12 2013-10-24 2013-10-25 2013-12-26 2014-01-02 2014-01-12 2014-10-16 2014-08-20 2014-12-19 2014-12-25 2015-03-29 2015-06-19 2015-06-22 2015-07-25 2015-09-25 2015-11-15 2015-12-10 2016-01-22 2016-08-05 2016-06-19 2016-12-12 2017-02-09 2017-02-08 2017-02-24 2017-03-26 2017-06-03 2017-08-01 2017-08-19 2017-03-24 2017-02-02 2017-09-30 2017-12-23 2018-02-12 2018-03-25 2018-04-04 2018-04-25 2018-04-27 2018-05-27 2017-03-07 2018-08-01 2018-08-08 2018-08-19 2018-09-06 2018-09-21 2018-10-16 2018-10-18 2018-10-17 2018-12-06 2019-01-07 2019-07-01 2019-12-01 2019-12-04 2019-12-15 2019-08-27 2020-01-05 2020-02-02 2020-01-29 2020-03-12 2020-04-29 2020-10-24 2021-01-31 2021-05-08 2021-06-05 2021-06-07 2021-06-24 2021-07-15 2021-09-21 2021-10-08 2021-11-29 2021-12-24 2021-12-27 2022-04-08,  cookedm Travis Oliphant Stefan van der Walt aarchiba Charles Harris Alan McIntyre Robert Kern David Cournapeau Pauli Virtanen Matthew Brett Ralf Gommers Skipper Seabold Warren Weckesser Sebastian Berg Julian Taylor Lars Buitinck Eric Moore Stefan Otte alex RittaNarita Evgeni Burovski John Kirkham Eric Wieser CJ Carey xoviat Marten van Kerkwijk Jeremy Chen mattip Elliott Sales de Andrade Tyler Reddy Roman Yurchak MSeifert04 Jon Dufresne Hameer Abbasi Jim sslivkoff Jakob tautaus czgdp1807 Dimitri Papadopoulos Alessia Marcolini Ivan Yashchuk DWesl Toshiki Kataoka
numpy/f2py/tests/test_regression.py, test_regression.py, 2006-07-18, 85, 654,  2006-07-18 2006-07-19 2006-07-20 2006-07-21 2006-07-26 2006-07-31 2006-08-02 2006-08-12 2006-08-15 2006-08-22 2006-09-04 2006-09-07 2006-09-08 2006-09-16 2006-09-18 2006-09-23 2006-09-28 2006-10-03 2006-10-06 2006-10-07 2006-10-10 2006-10-11 2006-10-14 2006-10-17 2006-10-18 2006-10-19 2006-10-23 2006-10-25 2006-10-26 2006-10-31 2006-11-05 2006-11-17 2006-11-19 2006-11-20 2006-11-27 2007-01-03 2007-01-09 2007-01-26 2007-02-09 2007-02-28 2007-03-12 2007-03-24 2007-04-01 2007-04-30 2007-05-13 2007-05-23 2007-06-30 2007-07-17 2007-07-23 2007-07-24 2007-09-20 2007-09-21 2007-10-02 2007-10-09 2007-10-17 2007-10-26 2007-11-18 2007-12-15 2007-12-17 2007-12-29 2008-01-20 2008-01-29 2008-02-01 2008-02-10 2008-02-13 2008-03-05 2008-03-11 2008-03-12 2008-03-19 2008-03-20 2008-03-21 2008-03-22 2008-03-25 2008-03-28 2008-04-09 2008-04-10 2008-04-11 2008-04-14 2008-04-20 2008-04-23 2008-05-08 2008-05-15 2008-05-21 2008-05-22 2008-05-26 2008-06-05 2008-06-07 2008-06-17 2008-06-21 2008-06-27 2008-07-03 2008-07-20 2008-07-21 2008-08-05 2008-08-08 2008-08-10 2008-08-24 2008-08-28 2008-08-29 2008-09-02 2008-09-09 2009-02-09 2009-02-25 2009-02-27 2009-03-02 2009-03-09 2009-03-10 2009-03-23 2009-03-27 2009-04-09 2009-04-10 2009-05-23 2009-06-19 2009-09-03 2009-09-16 2009-09-18 2009-09-30 2009-10-10 2009-10-12 2009-10-14 2009-10-15 2009-10-20 2009-11-27 2009-12-02 2009-12-04 2009-12-06 2009-12-07 2009-12-08 2010-02-02 2010-02-14 2010-02-16 2010-02-20 2010-02-21 2010-02-22 2010-03-21 2010-03-31 2010-04-05 2010-04-25 2010-05-05 2010-05-08 2010-05-11 2010-07-07 2010-07-09 2010-07-17 2010-07-18 2010-07-28 2010-07-29 2010-07-31 2010-09-04 2010-09-11 2010-09-21 2010-10-10 2010-10-11 2010-10-17 2010-11-04 2010-11-24 2011-01-21 2011-01-23 2011-01-24 2011-01-25 2011-01-26 2011-01-27 2011-01-28 2011-01-29 2011-02-02 2011-02-06 2011-02-11 2011-03-01 2011-03-04 2011-03-05 2011-03-07 2011-03-11 2011-03-15 2011-03-23 2011-04-02 2011-04-03 2011-04-05 2011-04-17 2011-04-12 2011-04-23 2011-04-27 2011-05-21 2011-06-03 2011-06-13 2011-06-19 2011-06-21 2011-06-29 2011-07-29 2011-08-18 2011-07-28 2011-08-23 2011-09-01 2011-09-02 2012-01-18 2012-02-08 2012-02-20 2011-06-02 2012-03-10 2012-03-17 2012-03-18 2012-03-19 2012-03-31 2012-04-11 2012-05-11 2012-07-12 2012-07-31 2012-08-29 2012-08-31 2012-08-30 2012-09-04 2012-09-24 2012-09-29 2012-10-01 2012-10-21 2012-11-01 2012-11-09 2012-11-13 2012-11-20 2012-11-23 2012-12-01 2012-12-09 2012-12-15 2013-01-05 2013-01-13 2013-01-24 2013-02-12 2013-02-20 2013-02-18 2013-02-26 2013-02-27 2013-03-05 2013-03-27 2013-03-25 2013-04-01 2013-03-28 2013-04-06 2013-04-11 2013-04-17 2013-05-07 2013-05-16 2013-05-27 2013-04-13 2012-10-25 2013-06-06 2013-06-17 2013-07-11 2013-07-17 2013-08-18 2013-09-02 2013-09-23 2013-09-28 2013-10-09 2013-10-10 2013-10-12 2013-10-17 2013-10-24 2013-11-08 2013-12-14 2013-09-25 2013-10-21 2014-02-03 2013-12-05 2014-03-01 2014-03-03 2014-03-07 2014-03-17 2014-04-11 2014-05-14 2014-05-22 2014-05-26 2014-06-12 2014-07-04 2014-07-18 2014-07-19 2014-07-30 2014-07-31 2014-09-04 2014-10-09 2015-01-21 2015-03-02 2015-03-12 2015-03-15 2015-04-03 2015-05-03 2015-05-08 2015-05-10 2015-03-04 2014-02-22 2015-05-07 2015-07-05 2015-07-22 2015-07-25 2015-07-29 2015-08-01 2015-08-27 2015-10-27 2016-01-02 2016-01-12 2016-03-23 2016-04-27 2016-05-03 2016-06-09 2016-08-06 2016-06-19 2016-08-29 2016-09-06 2016-09-12 2016-09-20 2015-10-12 2016-04-30 2016-11-01 2016-11-04 2016-11-23 2017-02-26 2017-03-25 2017-04-03 2017-03-26 2017-06-03 2017-07-04 2017-07-17 2017-08-01 2017-08-05 2017-08-06 2017-08-25 2017-09-01 2017-05-18 2017-07-28 2017-03-23 2017-11-04 2017-11-06 2017-11-16 2017-11-17 2018-03-12 2018-03-30 2018-03-25 2018-04-04 2018-04-07 2018-04-13 2018-01-02 2018-05-22 2018-06-04 2018-06-20 2018-07-05 2018-06-19 2018-08-01 2018-08-03 2018-08-19 2018-09-06 2018-09-13 2018-09-30 2018-10-05 2018-09-19 2018-10-21 2018-11-30 2018-12-06 2019-01-10 2019-01-20 2019-01-23 2019-01-24 2019-02-21 2019-04-06 2019-01-30 2019-05-07 2019-05-24 2019-05-30 2019-07-01 2019-08-18 2019-08-09 2019-08-28 2019-09-04 2019-05-21 2019-10-29 2019-10-30 2019-10-28 2019-10-31 2019-11-06 2019-11-11 2019-11-16 2019-11-25 2019-07-24 2019-12-06 2019-08-27 2020-01-05 2020-01-15 2020-01-08 2020-01-22 2020-01-21 2020-01-23 2019-11-27 2020-02-03 2020-02-07 2020-03-12 2020-03-21 2020-03-24 2020-03-26 2020-03-30 2020-04-10 2020-04-17 2020-06-10 2020-06-16 2020-05-08 2020-07-12 2020-07-20 2020-08-19 2020-08-20 2020-08-21 2020-10-24 2020-10-26 2020-10-19 2021-01-04 2020-10-09 2021-02-26 2021-03-11 2021-03-19 2021-04-12 2021-02-16 2021-05-19 2021-06-04 2021-06-19 2021-07-04 2021-07-07 2021-08-19 2021-10-08 2021-11-28 2021-12-02 2021-12-06 2022-02-11 2022-03-31,  Stefan van der Walt Travis Oliphant Robert Kern Charles Harris cookedm Jarrod Millman David Cournapeau Pauli Virtanen Christoph Weidemann Alan McIntyre dhuard mdroe rgommers Mark Wiebe Ralf Gommers Christolph Gohlke Derek Homeier Chris Jordan-Squire Bryan Van de Ven Skipper Seabold Nathaniel J. Smith Ronan Lamy Ondřej Čertík Sebastian Berg Thomas Robitaille Alex Ford Edward Catmur Christoph Gohlke David Warde-Farley Joseph Martinot-Lagarde Marten van Kerkwijk eltjpm Julian Taylor Daniel da Silva alex Jay Bourque Anton Ovchinnikov jaimefrio Matthew Brett Jaime Fernandez Allan Haldane Yash Mehrotra gfyoung Matthias Geier Simon Gibbons mattip Pierre de Buyl Matti Picus pelson Eric Moore saurabh James Sanders Nick Papior Eric Wieser Tyler Reddy Marten H. van Kerkwijk Licht Takeuchi Toshiki Kataoka Roman Yurchak Pierre Glaser Kevin Sheppard Antoine Pitrou Jakub Wilk Paul Ivanov Peter Bell MSeifert04 Max Bolingbroke Jon Dufresne Seth Troisi Warren Weckesser Jim Brandt Bucher Anirudh Subramanian vrakesh Sturla Molden Jakob Nikola Forró Bas van Beek Raúl Montón Pinillos Mike Taves Ganesh Kathiresan slepton shubham11941140 Alessia Marcolini Rohit Goswami
numpy/testing/tests/test_utils.py, test_utils.py, 2006-08-14, 47, 144,  2006-08-14 2008-04-07 2008-04-08 2008-04-17 2008-06-17 2008-06-21 2008-07-22 2008-08-29 2009-03-09 2009-07-27 2009-07-28 2009-10-24 2009-10-25 2009-10-30 2009-11-10 2009-11-23 2010-02-09 2010-02-20 2010-07-28 2011-01-21 2011-03-12 2011-04-05 2012-07-12 2012-09-20 2013-02-27 2013-03-05 2013-03-27 2013-03-28 2013-04-06 2013-08-18 2013-09-02 2013-09-08 2014-02-12 2014-03-19 2014-03-24 2014-03-25 2014-07-30 2014-08-31 2014-09-01 2014-09-05 2014-10-03 2014-12-05 2015-03-14 2015-07-05 2015-11-14 2015-12-19 2016-01-12 2016-01-14 2016-01-16 2016-02-19 2016-06-18 2016-06-19 2016-08-28 2016-09-26 2016-10-12 2016-10-19 2016-12-19 2017-01-06 2017-01-11 2016-12-26 2017-08-01 2017-09-04 2017-09-09 2017-05-18 2017-11-26 2017-11-28 2017-12-06 2018-03-10 2018-03-13 2018-03-14 2018-02-28 2018-03-25 2018-04-04 2018-04-12 2018-04-29 2018-05-19 2018-05-27 2018-07-14 2018-08-19 2018-09-13 2018-09-23 2018-10-15 2018-10-22 2018-11-10 2018-12-06 2019-01-01 2019-01-22 2016-10-09 2019-05-06 2019-05-26 2019-05-27 2019-08-15 2019-09-05 2019-09-06 2019-09-08 2019-12-18 2019-08-22 2019-08-27 2020-01-05 2020-01-08 2020-01-21 2020-02-05 2020-05-22 2020-06-14 2020-09-02 2020-10-10 2020-12-17 2021-02-04 2021-03-19 2021-08-06 2022-02-08,  Travis Oliphant David Cournapeau Robert Kern Alan McIntyre Charles Harris Pauli Virtanen Stefan van der Walt Mark Wiebe rgommers Nathaniel J. Smith Christoph Gohlke Sebastian Berg Olivier Grisel Yoshiki Vázquez Baeza Patrick Peglar Julian Taylor Ryan Nelson Matthew Brett Stephan Hoyer Antony Lee Antti Kaihola Josh Wilson Jonathan Tammo Siebert Marten van Kerkwijk Eric Wieser xoviat Allan Haldane Aaron Critchley Sho Nakamura mattip Roman Yurchak Tyler Reddy wtli@Dirac wrwrwr Tim Hoffmann CakeWithSteak Maxwell Aladago Nico Schlömer Jon Dufresne Seth Troisi Mike Taves Eric Larson Hugo Steve Joachim kumudlakara Bas van Beek Simon Surland Andersen
numpy/tests/test_ctypeslib.py, test_ctypeslib.py, 2006-08-14, 16, 42,  2006-08-14 2007-01-08 2007-10-02 2007-12-15 2007-12-29 2008-03-16 2008-03-23 2008-05-25 2008-06-17 2008-06-21 2008-09-13 2009-03-12 2011-03-02 2011-06-19 2012-02-16 2012-10-21 2013-02-26 2013-02-27 2013-03-27 2013-04-06 2013-08-18 2015-07-25 2016-02-23 2016-04-20 2017-07-17 2018-03-25 2018-04-04 2017-07-01 2018-04-24 2018-07-09 2018-11-19 2018-11-20 2018-12-16 2018-11-21 2019-08-27 2020-01-05 2020-10-10,  Travis Oliphant Stefan van der Walt Jarrod Millman David Cournapeau Alan McIntyre rgommers Charles Harris Sebastian Berg Meet Udeshi Tadeu Manoel tynn Eric Wieser mattip Anthony Sottile Jon Dufresne Bas van Beek
None, test_scalar_in_out.py, 2006-10-07, 5, 14,  2006-10-07 2006-10-08 2006-10-11 2006-10-20 2007-01-08 2007-05-18 2007-10-02 2007-12-15 2008-06-17 2008-06-21 2008-07-03,  Pearu Peterson Stefan van der Walt Travis Oliphant Alan McIntyre Robert Kern
None, test_derived_scalar.py, 2006-10-08, 5, 11,  2006-10-08 2006-10-09 2006-10-11 2007-01-08 2007-05-18 2007-10-02 2007-12-15 2008-06-17 2008-06-21 2008-07-03,  Pearu Peterson Stefan van der Walt Travis Oliphant Alan McIntyre Robert Kern
None, test_scalar_function_in.py, 2006-10-11, 5, 9,  2006-10-11 2007-01-08 2007-05-18 2007-10-02 2007-12-15 2008-06-17 2008-06-21 2008-07-03,  Pearu Peterson Stefan van der Walt Travis Oliphant Alan McIntyre Robert Kern
None, test_module_scalar.py, 2006-10-11, 5, 9,  2006-10-11 2007-05-18 2007-10-02 2007-12-15 2008-06-17 2008-06-21 2008-07-03,  Pearu Peterson Stefan van der Walt Travis Oliphant Alan McIntyre Robert Kern
numpy/core/tests/test_errstate.py, test_errstate.py, 2006-10-12, 13, 29,  2006-10-12 2006-10-16 2006-10-19 2007-01-08 2007-10-02 2007-12-15 2008-06-17 2008-06-21 2009-10-24 2009-12-06 2010-12-02 2011-04-01 2011-04-05 2013-01-02 2013-02-27 2013-03-27 2013-04-06 2015-07-05 2017-07-17 2018-03-25 2018-04-04 2018-09-13 2017-06-29 2019-08-27 2020-01-05 2020-02-26,  Tim Hochberg Travis Oliphant Stefan van der Walt Alan McIntyre Charles Harris Pauli Virtanen Mark Wiebe Robert Kern Ralf Gommers Roman Yurchak Nimish Telang Jon Dufresne Christian Kastner
None, test_module_module.py, 2006-10-13, 6, 12,  2006-10-13 2007-05-18 2007-10-02 2007-10-29 2007-12-15 2008-06-17 2008-06-21 2008-07-03,  Pearu Peterson Stefan van der Walt Jarrod Millman Travis Oliphant Alan McIntyre Robert Kern
None, test_expressions.py, 2006-10-20, 1, 11,  2006-10-20 2006-10-22 2006-10-23 2006-10-24 2006-10-25 2006-10-30 2006-10-31 2006-11-03,  Pearu Peterson
None, test_statements2.py, 2006-10-30, 1, 3,  2006-10-30 2006-10-31 2006-11-03,  Pearu Peterson
None, test_Fortran2003.py, 2006-11-01, 5, 10,  2006-11-01 2006-11-03 2006-12-23 2007-01-08 2007-10-02 2007-12-15 2008-06-17 2008-06-21 2008-07-03,  Pearu Peterson Stefan van der Walt Travis Oliphant Alan McIntyre Robert Kern
numpy/fft/tests/test_fftpack.py, test_fftpack.py, 2006-11-20, 11, 23,  2006-11-20 2007-10-02 2007-12-03 2007-12-15 2007-12-29 2008-06-17 2008-06-21 2008-07-03 2008-09-09 2010-02-21 2011-09-01 2011-09-02 2012-03-05 2013-03-27 2013-04-06 2014-05-06 2014-05-16 2014-09-03 2015-04-02 2017-01-03 2017-07-17 2018-04-04,  Stefan van der Walt Travis Oliphant Jarrod Millman Alan McIntyre Robert Kern Charles Harris Chris Jordan-Squire Alex Stewart Julian Taylor Joseph Martinot-Lagarde Gregory R. Lee
None, test1D.py, 2007-04-04, 1, 3,  2007-04-04 2007-04-05,  wfspotz@sandia.gov
None, test2D.py, 2007-04-04, 1, 3,  2007-04-04 2007-04-05,  wfspotz@sandia.gov
None, test3D.py, 2007-04-04, 1, 2,  2007-04-04 2007-04-05,  wfspotz@sandia.gov
tools/swig/test/testMatrix.py, testMatrix.py, 2007-04-05, 10, 18,  2007-04-05 2007-04-06 2007-09-13 2007-12-15 2007-12-29 2008-08-12 2008-08-23 2013-02-27 2013-03-27 2013-04-06 2013-08-18 2014-03-12 2015-02-15 2019-04-23 2019-08-27 2020-02-05 2020-03-04,  wfspotz@sandia.gov Travis Oliphant Jarrod Millman Stefan van der Walt Charles Harris Chris Lamb Nicola Soranzo Jon Dufresne Mike Taves Changqing Li
tools/swig/test/testTensor.py, testTensor.py, 2007-04-05, 10, 18,  2007-04-05 2007-04-06 2007-09-13 2007-12-15 2007-12-29 2008-08-12 2008-08-23 2013-02-27 2013-03-27 2013-04-06 2013-08-18 2014-03-12 2015-02-15 2019-04-23 2019-08-27 2020-02-05 2020-03-04,  wfspotz@sandia.gov Travis Oliphant Jarrod Millman Stefan van der Walt Charles Harris Chris Lamb Nicola Soranzo Jon Dufresne Mike Taves Changqing Li
tools/swig/test/testVector.py, testVector.py, 2007-04-05, 10, 18,  2007-04-05 2007-04-06 2007-09-13 2007-12-15 2007-12-29 2008-08-12 2008-08-23 2013-02-27 2013-03-27 2013-04-06 2013-08-18 2014-03-12 2015-02-15 2019-04-23 2019-08-27 2020-02-05 2020-03-04,  wfspotz@sandia.gov Travis Oliphant Jarrod Millman Stefan van der Walt Charles Harris Chris Lamb Nicola Soranzo Jon Dufresne Mike Taves Changqing Li
numpy/distutils/tests/test_fcompiler_gnu.py, test_fcompiler_gnu.py, 2007-04-22, 11, 19,  2007-04-22 2007-10-02 2007-12-15 2008-06-17 2008-06-21 2008-07-03 2011-04-05 2013-02-27 2013-03-27 2013-04-06 2013-05-26 2014-12-01 2015-03-07 2015-04-19 2017-07-17 2017-09-20 2018-04-04 2019-08-27 2020-01-05,  cookedm Stefan van der Walt Travis Oliphant Alan McIntyre Robert Kern Charles Harris mwtoews Ryan Nelson Ralf Gommers Jonathan Helmus Jon Dufresne
numpy/random/tests/test_random.py, test_random.py, 2007-08-28, 42, 119,  2007-08-28 2007-10-02 2007-11-23 2007-12-15 2007-12-29 2008-04-09 2008-06-17 2008-06-21 2008-08-23 2009-03-09 2009-03-14 2010-07-09 2011-01-24 2011-03-06 2011-03-10 2011-03-11 2011-03-15 2011-03-16 2011-04-01 2011-09-01 2011-09-02 2011-12-16 2012-07-12 2012-09-07 2012-11-13 2013-02-27 2013-02-15 2013-03-27 2013-04-06 2013-06-12 2013-06-28 2013-08-18 2014-02-12 2014-02-22 2014-03-13 2014-04-04 2014-04-11 2014-05-05 2014-05-28 2014-07-31 2014-09-06 2014-09-13 2014-09-27 2015-04-25 2015-03-26 2015-11-02 2015-12-13 2015-12-23 2015-12-29 2016-01-01 2016-01-03 2015-12-05 2016-01-12 2016-01-21 2016-01-18 2016-02-07 2016-02-19 2015-05-01 2016-04-10 2015-05-02 2016-06-19 2016-10-30 2017-01-03 2017-01-06 2017-01-17 2017-02-28 2017-02-05 2017-03-13 2017-03-25 2017-03-26 2017-04-01 2017-07-17 2017-08-01 2017-08-17 2017-08-22 2017-10-06 2017-10-09 2018-01-04 2018-04-04 2018-06-16 2018-06-19 2018-06-20 2018-08-18 2018-08-19 2018-09-08 2018-11-12 2018-12-14 2019-02-18 2019-03-05 2019-05-13 2019-05-14 2019-05-23 2019-04-14 2019-05-24 2019-11-11 2019-08-27 2020-01-05 2020-04-01 2020-04-06 2020-04-19 2020-10-26 2020-12-04 2020-12-05 2021-02-01 2021-02-19 2021-02-17 2021-03-17 2021-12-18,  Stefan van der Walt Travis Oliphant Jarrod Millman Robert Kern Alan McIntyre dhuard Charles Harris Pauli Virtanen Justin Peel rgommers Ralf Gommers Chris Jordan-Squire Nathaniel J. Smith Sebastian Berg Warren Weckesser HaroldMills Julian Taylor Daniel da Silva Masud Rahman behzad nouri Blake Griffith Evgeni Burovski gfyoung Antony Lee Alistair Muldal Oscar Villellas Marein Könings Evan Limanto Eric Wieser Simon Gibbons Kevin Sheppard luz.paz Mike Toews mattip Wenjamin Petrenko Bharat123Rox Jon Dufresne Pan Jan panpiort8 Nikola Forró Tyler Reddy warren
tools/swig/test/testArray.py, testArray.py, 2007-11-29, 12, 17,  2007-11-29 2007-12-15 2007-12-29 2008-08-12 2008-08-23 2013-02-27 2013-03-16 2013-03-27 2013-04-06 2013-08-18 2014-03-12 2014-11-07 2015-02-15 2019-08-27 2020-02-05 2020-03-04 2020-03-13,  wfspotz@sandia.gov Travis Oliphant Jarrod Millman Stefan van der Walt Charles Harris Egor Zindy Glen Mabey Chris Lamb Jon Dufresne Mike Taves Changqing Li Mathieu Lamarre
tools/swig/test/testFarray.py, testFarray.py, 2007-11-30, 10, 15,  2007-11-30 2007-12-15 2007-12-29 2008-08-23 2013-02-27 2013-03-27 2013-04-06 2013-08-18 2014-03-12 2015-02-15 2019-08-26 2019-08-27 2020-03-04 2021-08-18,  wfspotz@sandia.gov Travis Oliphant Jarrod Millman Stefan van der Walt Charles Harris Chris Lamb Hugo Jon Dufresne Changqing Li Hugo van Kemenade
